Year,Round,Driver,Expected_Pace_Delta
2023,4,VER,91.83536899583669
2023,4,ZHO,86.33770046885547
2023,5,ALB,-29.905874916762514
2023,5,ALO,-48.611769749522864
2023,5,BOT,31.22456077676179
2023,5,DEV,31.264056750524105
2023,5,GAS,31.26690026742017
2023,5,HAM,-89.3432252055918
2023,5,HUL,-69.34581684357181
2023,5,LEC,18.121033331968647
2023,5,MAG,36.587782603442065
2023,5,NOR,37.47644840400062
2023,5,OCO,-102.61018424555641
2023,5,PER,-9.172280883590247
2023,5,PIA,47.36171997716974
2023,5,RUS,17.84274884322531
2023,5,SAI,9.761611037458351
2023,5,SAR,0.5309609554869894
2023,5,STR,-129.55685304564759
2023,5,TSU,-82.55854974279464
2023,5,VER,-160.66869434420732
2023,5,ZHO,-65.38539644415687
2023,6,ALB,82.17653514570065
2023,6,ALO,-234.77767751830652
2023,6,BOT,-288.8661779954464
2023,6,DEV,-326.7086991799015
2023,6,GAS,-185.78760139782116
2023,6,HAM,-34.64791409594909
2023,6,HUL,35.060514280678035
2023,6,LEC,-143.8304866100052
2023,6,MAG,-288.81640923560644
2023,6,NOR,-289.69860962769053
2023,6,OCO,-43.566363012902
2023,6,PER,149.84146059465365
2023,6,PIA,-288.99723994559463
2023,6,RUS,-288.58719698126424
2023,6,SAI,-7.068017452252207
2023,6,SAR,186.5854984588932
2023,6,STR,-288.6889701871978
2023,6,TSU,-326.8030346540172
2023,6,VER,-326.53876543343995
2023,6,ZHO,41.07673167498706
2023,7,ALB,188.9263356456886
2023,7,ALO,237.6323094080999
2023,7,BOT,64.67889221238966
2023,7,DEV,148.8871826580944
2023,7,GAS,145.91755720502078
2023,7,HAM,183.2028449437721
2023,7,HUL,112.3251524429088
2023,7,LEC,119.25145116187014
2023,7,MAG,118.75686454456627
2023,7,NOR,219.61936044105096
2023,7,OCO,175.6380108557678
2023,7,PER,-18.923131278015717
2023,7,PIA,172.28218415476567
2023,7,RUS,217.64001706205454
2023,7,SAI,128.90593367976908
2023,7,SAR,30.401938098529172
2023,7,STR,281.9709373874739
2023,7,TSU,199.9441602311299
2023,7,VER,-22.12862861415033
2023,7,ZHO,124.34508285745869
2023,8,ALB,66.37234344835178
2023,8,ALO,-75.52297421407275
2023,8,BOT,-16.01175646851334
2023,8,DEV,-78.24222976309102
2023,8,GAS,75.17915013772654
2023,8,HAM,-29.801709825925172
2023,8,HUL,-14.56389382927864
2023,8,LEC,-121.18970088134847
2023,8,MAG,-95.72748657462216
2023,8,NOR,-34.52036432607656
2023,8,OCO,-43.928875891409916
2023,8,PER,-13.165677029906874
2023,8,PIA,-52.70287187219219
2023,8,RUS,66.32694910547616
2023,8,SAI,-112.53982647448538
2023,8,SAR,-108.98108742246495
2023,8,STR,-0.5618536393194518
2023,8,TSU,63.7830280581893
2023,8,VER,-41.19957363265803
2023,8,ZHO,-19.18396028897314
2023,9,ALB,-278.64123207908415
2023,9,ALO,-245.43578109990267
2023,9,BOT,-272.88655564731744
2023,9,DEV,-279.99444114069775
2023,9,GAS,-228.5739473241165
2023,9,HAM,-245.4634783504789
2023,9,HUL,95.04513400879569
2023,9,LEC,-197.1972658655386
2023,9,MAG,-347.66298193195325
2023,9,NOR,-278.66334952760735
2023,9,OCO,-285.78444753142594
2023,9,PER,-127.4279508773161
2023,9,PIA,-370.8600249574629
2023,9,RUS,-251.63462544863796
2023,9,SAI,-221.7796067223553
2023,9,SAR,-261.5135675616066
2023,9,STR,-302.23009235335485
2023,9,TSU,-442.8554627073154
2023,9,VER,-117.41482431905479
2023,9,ZHO,-322.37659126592007
2023,10,ALB,145.8348100660951
2023,10,ALO,136.8253131194224
2023,10,BOT,128.8832040343368
2023,10,DEV,255.95185552945986
2023,10,GAS,153.5164170862172
2023,10,HAM,136.85415010445377
