Year,Round,Driver,Constructor,GridPosition,Position,Is_DNF,Points
2023,2,LEC,ferrari,12,7,0,6.0
2023,2,OCO,alpine,6,8,0,4.0
2023,2,GAS,alpine,9,9,0,2.0
2023,2,MAG,haas,13,10,0,1.0
2023,2,TSU,alphatauri,16,11,0,0.0
2023,2,HUL,haas,10,12,0,0.0
2023,2,ZHO,alfa,11,13,0,0.0
2023,2,DEV,alphatauri,18,14,0,0.0
2023,2,PIA,mclaren,8,15,0,0.0
2023,2,SAR,williams,20,16,0,0.0
2023,2,NOR,mclaren,19,17,0,0.0
2023,2,BOT,alfa,14,18,1,0.0
2023,2,ALB,williams,17,19,1,0.0
2023,2,STR,aston_martin,5,20,1,0.0
2023,3,VER,red_bull,1,1,0,25.0
2023,3,HAM,mercedes,3,2,0,18.0
2023,3,ALO,aston_martin,4,3,0,15.0
2023,3,STR,aston_martin,6,4,0,12.0
2023,3,PER,red_bull,20,5,0,11.0
2023,3,NOR,mclaren,13,6,0,8.0
2023,3,HUL,haas,10,7,0,6.0
2023,3,PIA,mclaren,16,8,0,4.0
2023,3,ZHO,alfa,17,9,0,2.0
2023,3,TSU,alphatauri,12,10,0,1.0
2023,3,BOT,alfa,19,11,0,0.0
2023,3,SAI,ferrari,5,12,0,0.0
2023,3,GAS,alpine,9,13,1,0.0
2023,3,OCO,alpine,11,14,1,0.0
2023,3,DEV,alphatauri,15,15,1,0.0
2023,3,SAR,williams,18,16,1,0.0
2023,3,MAG,haas,14,17,1,0.0
2023,3,RUS,mercedes,2,18,1,0.0
2023,3,ALB,williams,8,19,1,0.0
2023,3,LEC,ferrari,7,20,1,0.0
2023,4,PER,red_bull,3,1,0,25.0
2023,4,VER,red_bull,2,2,0,18.0
2023,4,LEC,ferrari,1,3,0,15.0
2023,4,ALO,aston_martin,6,4,0,12.0
2023,4,SAI,ferrari,4,5,0,10.0
2023,4,HAM,mercedes,5,6,0,8.0
2023,4,STR,aston_martin,9,7,0,6.0
2023,4,RUS,mercedes,11,8,0,5.0
2023,4,NOR,mclaren,7,9,0,2.0
2023,4,TSU,alphatauri,8,10,0,1.0
2023,4,PIA,mclaren,10,11,0,0.0
2023,4,ALB,williams,12,12,0,0.0
2023,4,MAG,haas,16,13,0,0.0
2023,4,GAS,alpine,17,14,0,0.0
2023,4,OCO,alpine,19,15,0,0.0
2023,4,SAR,williams,14,16,0,0.0
2023,4,HUL,haas,20,17,1,0.0
2023,4,BOT,alfa,13,18,1,0.0
2023,4,ZHO,alfa,15,19,1,0.0
2023,4,DEV,alphatauri,18,20,1,0.0
2023,5,VER,red_bull,9,1,0,26.0
2023,5,PER,red_bull,1,2,0,18.0
2023,5,ALO,aston_martin,2,3,0,15.0
2023,5,RUS,mercedes,6,4,0,12.0
2023,5,SAI,ferrari,3,5,0,10.0
2023,5,HAM,mercedes,13,6,0,8.0
2023,5,LEC,ferrari,7,7,0,6.0
2023,5,GAS,alpine,5,8,0,4.0
2023,5,OCO,alpine,8,9,0,2.0
2023,5,MAG,haas,4,10,0,1.0
2023,5,TSU,alphatauri,17,11,0,0.0
2023,5,STR,aston_martin,18,12,0,0.0
2023,5,BOT,alfa,10,13,0,0.0
2023,5,ALB,williams,11,14,0,0.0
2023,5,HUL,haas,12,15,0,0.0
